countryname,cowcode,year,avemag_bothtiers,avemag_lower
Argentina,160,2011,NaN,5.416666508
Austria,305,2008,3.452980042,3.440000057
Bolivia,145,2009,2.923931599,0.879999995
Brazil,140,2010,NaN,19
Canada,20,2006,NaN,1
Chile,155,2009,NaN,2
Colombia,100,2010,NaN,5.03000021
Ecuador,130,2009,5.167861462,3.809999943
France,220,2012,NaN,1
German Federal Republic,260,2009,10.96392727,1
Ireland,205,2011,NaN,3.859999895
Italy/Sardinia,325,2008,22.5,22.5
Mexico,70,2012,133.4444427,0.333333343
Netherlands,210,2012,NaN,150
Norway,385,2009,9.143257141,7.889999866
Paraguay,150,2008,NaN,4.440000057
Peru,135,2011,NaN,5.199999809
Portugal,235,2011,NaN,10.44999981
Spain,230,2011,NaN,6.730000019
Sweden,380,2010,13.8532753,10.68999958
Switzerland,225,2007,NaN,7.690000057
United Kingdom,200,2010,NaN,1
United States of America,2,2012,NaN,1
Uruguay,165,2009,NaN,5.210000038
Venezuela,101,2010,1.542693615,1.25999999
